,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count,Cuisines
67,16557949,Glebe Point Diner,Glebe,"407 Glebe Point Road, Glebe, Sydney",Sydney,-33.8747239267,151.1832180619,4,120,4.6,Excellent,241,49,Modern Australian
68,15544399,Jasmins Lebanese Restaurant,Lakemba,"30B Haldon Street, Lakemba, Sydney",Sydney,-33.918826817399996,151.0762636364,2,30,4.6,Excellent,156,59,Lebanese
69,16562176,3 Olives,Newtown,"365 King Street, Newtown, Sydney",Sydney,-33.8989302421,151.177694723,3,85,4.6,Excellent,154,77,"Greek, Mediterranean"
70,16559765,Yiamas Greek Taverna,St. Peters,"5 Princes Hwy, St. Peters, Sydney",Sydney,-33.9089095791,151.180880852,2,55,4.6,Excellent,101,48,Greek
71,16563995,Bondi's Best,North Bondi,"Shop 1, 39-53 Campbell Parade, North Bondi, Sydney",Sydney,-33.8896842187,151.2838441506,3,80,4.6,Excellent,107,36,"Seafood, Sushi"
72,16559413,La Piadina,Bondi Beach,"106 Glenayr Avenue, Bondi Beach, Sydney",Sydney,-33.886261408,151.2738294527,2,35,4.6,Excellent,101,31,"Italian, Pizza, Cafe Food, Coffee and Tea"
73,16565634,Mr. Wong,"Establishment, CBD","Establishment, 3 Bridge Lane, CBD, Sydney",Sydney,-33.864249772,151.2081934512,4,120,4.5,Excellent,1703,649,"Cantonese, Chinese, Yum Cha"
74,18347530,Kobe Wagyu Yakiniku,CBD,"Level 1, 605 George Street, Chinatown, CBD, Sydney",Sydney,-33.8776283458,151.2053224817,4,160,4.5,Excellent,898,606,"Japanese BBQ, BBQ, Healthy Food, Japanese, Oriental, Seafood, Steak, Asian"
75,16566109,Ippudo,"Westfield Pitt Street Mall, CBD","Shop 5021, Level 5, Westfield Pitt Street Mall, 188 Pitt Street, CBD, Sydney",Sydney,-33.8698329,151.2089890614,3,70,4.5,Excellent,1844,602,"Japanese, Ramen"
76,16563159,Ms. G's,Potts Point,"155 Victoria Street, Potts Point, Sydney",Sydney,-33.872626,151.222425,4,100,4.5,Excellent,1336,467,"Asian, Vietnamese, Salad"
77,16564684,Buffalo Dining Club,Darlinghurst,"116 Surrey Street Darlinghurst, Darlinghurst, Sydney",Sydney,-33.877600231799995,151.2219997868,3,70,4.5,Excellent,517,192,Italian
78,16569007,Cho Cho San,Potts Point,"73 Macleay Street, Potts Point, Sydney",Sydney,-33.86942,151.225258,4,120,4.5,Excellent,610,251,"Japanese, Asian, Fusion"
79,16559086,Suminoya Japanese,CBD,"1 Hosking Place, CBD, Sydney",Sydney,-33.867159558400004,151.2095711008,3,80,4.5,Excellent,506,124,Japanese BBQ
80,17743923,Juan Bowl & Tea,Redfern,"Shop 5 94A Pitt Street, Redfern, Sydney",Sydney,-33.8930952033,151.20389856399999,3,80,4.5,Excellent,341,117,"Japanese, Tea"
81,16558421,Mamak,Haymarket,"15 Goulburn Street, 	Haymarket",Sydney,-33.8777433068,151.2042368576,3,70,4.5,Excellent,2378,670,Malaysian
82,16557807,Encasa,Haymarket,"423 Pitt Street, Haymarket, Sydney",Sydney,-33.878651299,151.2072167918,3,80,4.5,Excellent,668,190,Spanish
83,16559500,Miso Japanese Restaurant,"World Square, CBD","Shop 20, World Square Shopping Centre, 644 George Street, CBD, Sydney",Sydney,-33.8774323827,151.2071567774,3,60,4.5,Excellent,623,199,Japanese
84,16564479,BLACK Bar & Grill,"The Star, Pyrmont","80 Pyrmont Street,Pyrmont, Sydney",Sydney,-33.8677330408,151.195734255,4,150,4.5,Excellent,550,254,"Steak, Modern Australian"
