,Unnamed: 0,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count,Cuisines,factor
58,220,16591304,Hakataya Ramen,Sunnybank Plaza,"Sunnybank Plaza, Shop 27B, 358 Mains Road, Sunnybank, Brisbane",Brisbane,-27.571057683499998,153.06287091229999,2,40,4.6,Excellent,431,133,"Japanese, Ramen",8.695652173913045
59,199,16573607,Brown Rice,Aspendale & Chelsea,"249 Nepean Highway, Edithvale, Melbourne",Melbourne,-38.0373443455,145.1076672971,2,40,4.6,Excellent,348,150,Thai,8.695652173913045
60,197,19245843,Lanzhou Beef Noodle Bar,"Chadstone Shopping Centre, Chadstone","Chadstone Shopping Centre, Ground Level, Shop F021, 1341 Dandenong Road, Chadstone, Melbourne",Melbourne,-37.8873994489,145.0839448348,2,40,4.6,Excellent,1108,934,"Chinese, Fast Food",8.695652173913045
61,224,16593582,Rice Paper Vietnamese Cuisine,Warrigal Square Shopping Centre,"Warrigal Square Shopping Centre, 261 Warrigal Road, Eight Mile Plains, Brisbane",Brisbane,-27.5898644575,153.0870761722,2,40,4.6,Excellent,174,76,"Vietnamese, Salad",8.695652173913045
62,226,16592529,De Pascale,Chermside,"Corner Kittyhawk Drive & Way Street, Chermside, Brisbane",Brisbane,-27.3851311173,153.0347134173,2,40,4.6,Excellent,142,66,"Pizza, Italian",8.695652173913045
63,161,16574218,BrimCC,CBD,"Shop 2, 601 Little Collins Street, CBD, Melbourne",Melbourne,-37.8178720389,144.9548001587,2,40,4.6,Excellent,791,208,Japanese,8.695652173913045
64,318,16597649,Sparrow Indonesian Restaurant,Perth CBD,"301 Lord Street, Perth CBD, Perth",Perth,-31.943346000000002,115.87339899999999,2,40,4.6,Excellent,394,151,"Indonesian, Malaysian",8.695652173913045
65,172,16582125,Tuck Shop Take Away,Caulfield,"273 Hawthorn Road, Caulfield North, Melbourne",Melbourne,-37.879972897399995,145.0234006718,2,40,4.6,Excellent,987,378,Burger,8.695652173913045
66,52,16557180,Ayam Goreng 99,Kingsford,"464 Anzac Parade, Kingsford, Sydney",Sydney,-33.922148,151.227334,2,40,4.6,Excellent,440,150,"Indonesian, Fried Chicken",8.695652173913045
67,44,16714055,Yang San Park,Haymarket,"21/1 Dixon Street, Haymarket",Sydney,-33.8774944563,151.2038576603,2,40,4.6,Excellent,329,113,Korean BBQ,8.695652173913045
68,49,16564297,Kanzo,Parramatta,"Shop 6/55-67 George Street, Parramatta, Sydney",Sydney,-33.814111661,151.00496716799998,2,40,4.6,Excellent,401,169,"Japanese, Sushi",8.695652173913045
69,215,16590549,Sushi Kotobuki,East Brisbane,"53 Lytton Road, East Brisbane, Brisbane",Brisbane,-27.4796290564,153.0441866443,2,40,4.6,Excellent,732,214,"Asian, Japanese, Sushi",8.695652173913045
70,180,16580785,Blu by Australian Seafood Fish & Chippery,Coburg,"146 Gaffney Street, Coburg, Melbourne",Melbourne,-37.7328337482,144.954095073,2,40,4.6,Excellent,599,280,"Fish and Chips, Seafood",8.695652173913045
71,257,16590257,No No's,Red Hill,"158 Musgrave Road, Red Hill, Brisbane",Brisbane,-27.455276630100002,153.0066166073,2,40,4.5,Excellent,172,65,"Middle Eastern, Lebanese",8.88888888888889
72,263,16591642,Sushi Train,Carseldine Central Shopping Centre,"Carseldine Central Shopping Centre, Shop 5, 735 Beams Road, Carseldine, Brisbane",Brisbane,-27.3454749898,153.0120494217,2,40,4.5,Excellent,128,51,"Sushi, Japanese",8.88888888888889
73,417,16587474,Eggless,"Goodwood Road, Goodwood","162 Goodwood Road, Goodwood, Adelaide",Adelaide,-34.953102777800005,138.5896138889,2,40,4.5,Excellent,632,184,"Desserts, Coffee and Tea, Cafe Food",8.88888888888889
74,418,16587898,The Pantry On Egmont,"Egmont Terrace, Hawthorn","2, Egmont Terrace, Hawthorn, Adelaide",Adelaide,-34.9689916667,138.5997166667,2,40,4.5,Excellent,417,138,"Coffee and Tea, Cafe Food",8.88888888888889
75,340,16596772,Kanta,Langford,"Shop 3, 70 Langford Avenue, Langford, Perth",Perth,-32.043415,115.942848,2,40,4.5,Excellent,387,140,Japanese,8.88888888888889
76,338,16597105,Grill'd - Mount Lawley,Mount Lawley,"669 Beaufort Street, Mount Lawley, Perth",Perth,-31.9338332,115.8725368,2,40,4.5,Excellent,1137,246,"Burger, Healthy Food",8.88888888888889
77,336,16599078,Mama Tran,Perth CBD,"Shop 10, 36-40 Milligan Street, Perth CBD, Perth",Perth,-31.9513287122,115.8519431949,2,40,4.5,Excellent,566,138,"Vietnamese, Asian",8.88888888888889
78,253,16591265,Sakura Japanese Runcorn,Runcorn,"Shop 8, 957 Beenleigh Road, Runcorn, Brisbane",Brisbane,-27.5965750962,153.0732748658,2,40,4.5,Excellent,200,60,"Japanese, Sushi",8.88888888888889
79,255,16590651,Fresh Sushi Co,James Street Market,"James Street Market, 22 James Street, Fortitude Valley, Brisbane",Brisbane,-27.4562426548,153.0404251814,2,40,4.5,Excellent,165,64,Seafood,8.88888888888889
80,280,16595113,Ben's Burgers,Fortitude Valley,"Winn Lane, 5 Winn Street, Fortitude Valley, Brisbane",Brisbane,-27.457854859,153.0361795798,2,40,4.4,Very Good,408,173,"American, Burger",9.09090909090909
81,291,16593960,Bare Bones Society,Jindalee Home Shopping Centre,"Jindalee Home Shopping Centre, Shop 22, 34 Goggs Road, Jindalee, Brisbane",Brisbane,-27.5348288085,152.9479704425,2,40,4.4,Very Good,274,126,"Modern Australian, Cafe Food",9.09090909090909
82,296,16595617,Genkotsu Ramen,Runcorn Plaza,"Runcorn Plaza, Shop 25, 258 Warrigal Road, Runcorn, Brisbane",Brisbane,-27.588247353200003,153.0839346349,2,40,4.4,Very Good,198,83,"Japanese, Ramen",9.09090909090909
83,293,16592495,The Green Edge,Windsor,"Shop 2B, 229 Lutwyche Road, Windsor, Brisbane",Brisbane,-27.4357270177,153.0325555801,2,40,4.4,Very Good,156,89,"Vegan, Cafe Food",9.09090909090909
84,278,16591627,Guzman y Gomez,Emporium - Fortitude Valley,"Emporium, Shop 31, 1000 Ann Street, Fortitude Valley, Brisbane",Brisbane,-27.452950341199998,153.03907133639999,2,40,4.4,Very Good,866,198,Mexican,9.09090909090909
85,359,16596785,Took Bae Kee I Restaurant,Perth CBD,"Shop 6, 542 Hay Street, Perth CBD",Perth,-31.9550963027,115.86230423299999,2,40,4.4,Very Good,366,95,"Korean, Asian",9.09090909090909
86,442,16588952,Jin's Bibimbar,"Goodwood Road, Westbourne Park","480 Goodwood Road, Cumberland Park",Adelaide,-34.9755814612,138.591622375,2,40,4.4,Very Good,120,49,"Asian, Korean",9.09090909090909
87,356,16598458,Veggie Mama,Mount Lawley,"5/567 Beaufort Street, Mount Lawley, Perth",Perth,-31.9364687781,115.87061338129999,2,40,4.4,Very Good,525,170,"Vegetarian, Healthy Food, Cafe Food",9.09090909090909
88,395,16599613,Red Basil Thai Cuisine,Victoria Park,"Shop 2, 335 Albany Highway, Victoria Park, Perth",Perth,-31.9733176069,115.8964386955,2,40,4.3,Very Good,504,213,Thai,9.30232558139535
89,463,16587696,FB's Fancy Burgers,"Main Road, Blackwood","Shop 4, 237 Main Road, Blackwood",Adelaide,-35.0200388889,138.61654722219998,2,40,4.3,Very Good,373,121,Burger,9.30232558139535
90,466,16587587,Pho Baria 2,"Hanson Road, Woodville Gardens","54c Hanson Road, Woodville Gardens, Adelaide",Adelaide,-34.868144010900004,138.54805391280001,2,40,4.3,Very Good,162,71,Vietnamese,9.30232558139535
91,483,16588069,British Raj,"Henley Beach Road, Torrensville","170 Henley Beach Road, Torrensville, Adelaide",Adelaide,-34.9241028872,138.56210634110002,2,40,4.3,Very Good,106,58,Indian,9.30232558139535
92,225,16593627,Mamak Tandoori House,Camp Hill Marketplace,"Camp Hill Marketplace, Shop 6, 25 Samuel Street, Camp Hill, Brisbane",Brisbane,-27.500617407600004,153.0766705424,2,43,4.6,Excellent,145,75,"Indian, Malaysian",9.347826086956523
93,402,16587626,Mandoo,"Bank Street, City Centre","3/26 Bank Street, Adelaide, SA",Adelaide,-34.922517543000005,138.5974917188,2,45,4.8,Excellent,764,290,"Korean, Dumplings",9.375
94,114,16573311,The Proud Peacock,Mount Waverley,"28 Hamilton Place, Mount Waverley, Melbourne",Melbourne,-37.8759680969,145.1287893578,2,45,4.8,Excellent,1352,625,"Chinese, Thai, Vietnamese",9.375
95,486,16588258,Cafe Troppo,"Whitmore Square, City Centre","42 Whitmore Square, Adelaide",Adelaide,-34.933199261999995,138.5949013755,2,40,4.2,Very Good,299,111,"Coffee and Tea, Cafe Food",9.523809523809524
96,485,16588799,Nordburger,"The Parade, Norwood","168 The Parade, Norwood",Adelaide,-34.921336111100004,138.6353444444,2,40,4.2,Very Good,677,219,"American, Burger, Ice Cream",9.523809523809524
97,27,16559994,Vina Vegan Restaurant,Newtown,"395 King Street, Newtown, Sydney",Sydney,-33.8997403312,151.1778915301,2,45,4.7,Excellent,155,62,"Vietnamese, Vegetarian, Vegan",9.574468085106382
98,62,16560596,Pho Tau Bay,Cabramatta,"Shop 12, 117 John Street, Cabramatta, Sydney",Sydney,-33.8943923769,150.9338490665,2,45,4.6,Excellent,222,89,"Vietnamese, Pho",9.782608695652174
99,57,16565993,Nom,Darlinghurst,"166 Riley Street, Darlinghurst, Sydney",Sydney,-33.8778977942,151.2146310881,2,45,4.6,Excellent,153,42,Japanese,9.782608695652174
