,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count,Cuisines
38,17744148,Ho Jiak Haymarket 好吃禧市,Haymarket,"92 Hay Street, Chinatown, Haymarket, Sydney",Sydney,-33.87936638,151.2040541,3,70,4.8,Excellent,553,218,"Malaysian, Asian, Chinese, Asian Fusion, Singaporean"
39,16562527,Bistro Papillon,CBD,"98 Clarence Street, CBD, Sydney",Sydney,-33.86803593,151.2053141,3,80,4.8,Excellent,505,155,French
63,16559190,Thai Pothong,Newtown,"294 King Street, Newtown, Sydney",Sydney,-33.89674733,151.1796621,4,100,4.7,Excellent,1031,289,Thai
91,16564943,Claire's Kitchen at Le Salon,Surry Hills,"35 Oxford Street, Surry Hills, Sydney",Sydney,-33.87795708,151.2134767,4,120,4.7,Excellent,340,151,French
26,16564570,Sokyo,"The Star, Pyrmont","Level G, The Darling, The Star, 80 Pyrmont Street, Pyrmont",Sydney,-33.869338,151.19597,4,120,4.8,Excellent,1401,567,Japanese
44,17744990,The Dolar Shop Hot Pot Restaurant 豆捞坊 - 1909 Dining Precinct,"Market City, Chinatown","Shop 5&6, Level 3, 1909 Dining Precinct, Market City, 9 - 13 Hay Street, Chinatown, Haymarket, Sydney",Sydney,-33.87977166,151.2029836,4,120,4.8,Excellent,277,110,"Chinese, Hot Pot, Asian, Seafood"
84,16562375,Hugos Manly,"Manly Wharf, Manly","Shop 1, Manly Wharf, 21 East Esplanade, Manly, Sydney",Sydney,-33.7998784,151.2838901,4,130,4.7,Excellent,467,157,"Modern Australian, Tapas"
29,18241437,KOI Dessert Bar,"Kensington Street, Chippendale","46 Kensington Street, Chippendale, Sydney",Sydney,-33.88548793,151.2018051,4,150,4.8,Excellent,996,437,"Desserts, Modern Australian"
42,16567404,Ester,Chippendale,"46-52 Meagher Street, Chippendale, Sydney",Sydney,-33.8876202,151.2009686,4,150,4.8,Excellent,394,190,Modern Australian
11,15547004,Restaurant Hubert,CBD,"15 Bligh Street, CBD, Sydney",Sydney,-33.86534833,151.2106239,4,150,4.9,Excellent,590,224,"French, European"
17,16569454,LuMi Bar & Dining,Pyrmont,"56 Pirrama Road, 	Pyrmont, Pyrmont, Sydney",Sydney,-33.86713673,151.1975169,4,190,4.9,Excellent,452,196,"Italian, Japanese"
19,16564814,Sixpenny,Stanmore,"83 Percival Rd, Stanmore, Sydney",Sydney,-33.89255195,151.164735,4,280,4.9,Excellent,230,107,Modern Australian
96,16561357,Ormeggio At The Spit,"D'Albora Marinas, Mosman","D'Albora Marinas The Spit, Spit Road, Mosman, Sydney",Sydney,-33.8042246,151.2458386,4,300,4.7,Excellent,286,131,Italian
4,16559171,Tetsuya's,CBD,"529 Kent Street, CBD, Sydney",Sydney,-33.87514287,151.2049315,4,440,4.9,Excellent,1234,329,Japanese
3,16558798,Quay,Circular Quay,"Upper Level, Overseas Passenger Terminal 5 Hickson Road, Circular Quay, Sydney",Sydney,-33.85802926,151.2099704,4,500,4.9,Excellent,1366,454,Modern Australian
