,Restaurant_id,Name,Locality,Address,City,Latitude,Longitude,Zip Code,Cuisines,Price Range,Average Cost for two,User Rating,Rating Text,Votes,all_reviews_count
52,16594407,DA'Burger,New Farm,"876 Brunswick Street, New Farm, Brisbane",Brisbane,-27.4669457138,153.0467655882,4005,Burger,2,45,4.5,Excellent,358,171
53,16590249,My Thai Restaurant,Auchenflower,"113 Haig Road, Auchenflower, Brisbane",Brisbane,-27.4705514441,152.9958173633,4066,Thai,3,70,4.5,Excellent,371,90
54,16591575,Just Soy Cafe,Sunnybank Hills,"Pacific Centre, Shop 1, 8 Lear Street, Sunnybank Hills, Brisbane",Brisbane,-27.6101802317,153.0542402342,4109,"Desserts, Asian",1,20,4.5,Excellent,237,76
55,16591265,Sakura Japanese Runcorn,Runcorn,"Shop 8, 957 Beenleigh Road, Runcorn, Brisbane",Brisbane,-27.5965750962,153.0732748658,4113,"Japanese, Sushi",2,40,4.5,Excellent,200,60
56,16589781,A Night in India,Toowong,"Shop 3, 58 High Street, Toowong, Brisbane",Brisbane,-27.4868815063,152.9912126809,4066,Indian,3,60,4.5,Excellent,317,104
57,16590651,Fresh Sushi Co,James Street Market,"James Street Market, 22 James Street, Fortitude Valley, Brisbane",Brisbane,-27.4562426548,153.0404251814,4006,Seafood,2,40,4.5,Excellent,165,64
58,16591929,DannyBoys,Kelvin Grove,"88 Musk Avenue, Kelvin Grove, Brisbane",Brisbane,-27.4528357957,153.0147675052,4059,"American, Sandwich",2,30,4.5,Excellent,220,113
59,16590257,No No's,Red Hill,"158 Musgrave Road, Red Hill, Brisbane",Brisbane,-27.4552766301,153.0066166073,4059,"Middle Eastern, Lebanese",2,40,4.5,Excellent,172,65
60,16593777,Sushi Edo,Newmarket Village,"Reading Newmarket Shopping Centre, 400 Newmarket Road, Newmarket, Brisbane",Brisbane,-27.4381759672,153.0080981925,4051,"Sushi, Japanese",2,30,4.5,Excellent,232,88
61,16590875,Curryville Indian Restaurant,Morningside,"629 Wynnum Road, Morningside, Brisbane",Brisbane,-27.4678206073,153.0727535114,4170,Indian,3,60,4.5,Excellent,233,115
62,16591457,Siam Sensations,Nundah,"Shop 2, 1208 Sandgate Road, Nundah, Brisbane",Brisbane,-27.4026373668,153.0605132505,4012,Thai,3,60,4.5,Excellent,196,76
63,16590839,Carraway Pier,Kelvin Grove,"The Village Centre, Shop 17, 8 Carraway Street, Kelvin Grove, Brisbane",Brisbane,-27.4546393526,153.0147537589,4059,"Fish and Chips, Burger",2,30,4.5,Excellent,144,38
64,16591120,Indian Mehfil,Ipswich,"116A Brisbane Street, Ipswich, Brisbane",Brisbane,-27.6146142893,152.7594771981,4305,Indian,2,50,4.5,Excellent,151,76
65,16592679,Pawpaw,East Brisbane,"898 Stanley Street, East Brisbane, Brisbane",Brisbane,-27.4872164109,153.0410243198,4102,"Healthy Food, Asian",2,50,4.4,Very Good,801,295
66,16592585,The Burrow,West End,"52 Russell Street, West End, Brisbane",Brisbane,-27.4795761105,153.0125429481,4101,Pizza,3,60,4.4,Very Good,1012,305
67,16590994,Little Greek Taverna,West End,"Shop 5, 1 Browning Street, West End, Brisbane",Brisbane,-27.4774948421,153.0127330497,4101,"Mediterranean, Greek, Salad",3,60,4.4,Very Good,1150,397
68,16590758,Madtongsan II,Brisbane CBD,"Shop 1, 85 Elizabeth Street, Brisbane CBD, Brisbane",Brisbane,-27.4714962146,153.0253340676,,Korean,3,60,4.4,Very Good,672,189
69,16589787,Alchemy Restaurant and Bar,Brisbane CBD,"175 Eagle Street, Brisbane CBD, Brisbane",Brisbane,-27.4664548661,153.0310709775,4000,"Contemporary, French",4,160,4.4,Very Good,449,171
